Journey_Name,Date,Total_Sent,Total_Delivered,Delivery_Rate,Total_Bounces,Bounce_Rate,Total_Soft_Bounces,Soft_Bounce_Rate,Total_Hard_Bounces,Hard_Bounce_Rate,Total_Block_Bounces,Block_Bounce_Rate,Total_Opens,Unique_Opens,Unique_Open_Rate,Unique_Mobile_Opens,Unique_Mobile_Open_Rate,Total_Clicks,Unique_Clicks,Unique_Click_Rate,Total_Unsubscribes,Unsubscribe_Rate,Total_Conversions,Conversion_Rate,,,,
FY21 Graduate Information Session,12/04/2020,5,4,80.00%,1,20.00%,0,0.00%,1,20.00%,0,0.00%,1,1,25.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,12/03/2020,3,3,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,12/02/2020,4,4,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,2,50.00%,0,0.00%,6,1,25.00%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,12/01/2020,9,9,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,3,33.33%,1,11.11%,0,0,0.00%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,11/30/2020,1,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,11/29/2020,1,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,11/28/2020,7,7,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,1,14.29%,1,14.29%,0,0,0.00%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,11/27/2020,5,5,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,1,20.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,11/26/2020,12,12,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,2,16.67%,2,16.67%,24,2,16.67%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,11/25/2020,4,4,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,1,25.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,11/24/2020,10,9,90.00%,1,10.00%,0,0.00%,1,10.00%,0,0.00%,8,5,55.56%,2,22.22%,1,1,11.11%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,11/23/2020,2,2,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,1,50.00%,1,50.00%,1,1,50.00%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,11/22/2020,1,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,11/21/2020,4,4,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,11/20/2020,9,8,88.89%,1,11.11%,1,11.11%,0,0.00%,0,0.00%,1,1,12.50%,1,12.50%,0,0,0.00%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,11/19/2020,4,4,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,1,25.00%,1,25.00%,1,1,25.00%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,11/18/2020,7,7,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,2,28.57%,2,28.57%,0,0,0.00%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,11/17/2020,14,14,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,3,21.43%,2,14.29%,0,0,0.00%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,11/16/2020,1,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,11/15/2020,2,2,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,1,50.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session for Version 1 Exits,11/18/2020,4241,4145,97.74%,96,2.26%,8,0.19%,88,2.07%,0,0.00%,1444,742,17.90%,298,7.19%,88,68,1.64%,9,0.22%,0,0.00%,,,,
FY21 Graduate Information Session for Version 1 Exits,,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,,,,
FY21 Senior Search,12/03/2020,18565,18131,97.66%,434,2.34%,69,0.37%,182,0.98%,183,0.99%,4101,2907,16.03%,629,3.47%,468,228,1.26%,154,0.85%,0,0.00%,,,,
FY21 Senior Search,11/19/2020,18699,18270,97.71%,429,2.29%,70,0.37%,180,0.96%,179,0.96%,4366,3103,16.98%,670,3.67%,702,246,1.35%,189,1.03%,0,0.00%,,,,
FY21 Senior Search,,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,,,,
SIMULATION2080 journeyId fbbeab8a-5769-434d-80a3-212939547571,11/17/2020,60,60,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,,,,
SIMULATION2090 journeyId f3d9a1dc-4929-4e67-85b0-49ed96173917,11/19/2020,10,10,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,,,,
SIMULATION2172 journeyId a4c9697b-3538-4636-9167-a78a7fadaf37,12/11/2020,40,40,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journey_Name,Version,Activity_Name,Date,Email_Name,Email_Subject,Total_Sent,Total_Delivered,Delivery_Rate,Total_Bounces,Bounce_Rate,Total_Soft_Bounces,Soft_Bounce_Rate,Total_Hard_Bounces,Hard_Bounce_Rate,Total_Block_Bounces,Block_Bounce_Rate,Total_Opens,Unique_Opens,Unique_Open_Rate,Unique_Mobile_Opens,Unique_Mobile_Open_Rate,Total_Clicks,Unique_Clicks,Unique_Click_Rate,Total_Unsubscribes,Total_Unsubscribe_Rate,Total_Conversions,Conversion_Rate
FY21 Graduate Information Session,2,Grad Info Session ? Journey 06,,FY21 Graduate Info Session ? Journey                                                                ,Take the next step toward graduate school                                                                                                                                                               ,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 05,,FY21 Graduate Info Session ? Journey                                                                ,Your path to a graduate degree starts here                                                                                                                                                              ,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 04,,FY21 Graduate Info Session ? Journey                                                                ,Get motivated for graduate school                                                                                                                                                                       ,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 03,,FY21 Graduate Info Session ? Journey                                                                ,Learn more about graduate school                                                                                                                                                                        ,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 02,12/14/2020,FY21 Graduate Info Session ? Journey                                                                ,Take your education to the next level                                                                                                                                                                   ,2,2,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,1,50.00%,1,50.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 02,12/13/2020,FY21 Graduate Info Session ? Journey                                                                ,Take your education to the next level                                                                                                                                                                   ,2,2,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 02,12/12/2020,FY21 Graduate Info Session ? Journey                                                                ,Take your education to the next level                                                                                                                                                                   ,4,4,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,1,25.00%,1,25.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 02,12/11/2020,FY21 Graduate Info Session ? Journey                                                                ,Take your education to the next level                                                                                                                                                                   ,3,3,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,1,33.33%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,12/14/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,2,2,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,12/13/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,3,3,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,1,33.33%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,12/12/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,4,4,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,2,50.00%,0,0.00%,1,1,25.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,12/11/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,6,6,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,1,16.67%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,12/10/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,4,4,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,2,50.00%,1,25.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,12/09/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,9,9,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,3,33.33%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,12/08/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,29,29,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,21,15,51.72%,5,17.24%,3,3,10.34%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,12/07/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,3,3,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,1,33.33%,1,33.33%,1,1,33.33%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,12/06/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,2,2,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,12/05/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,1,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,12/04/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,5,4,80.00%,1,20.00%,0,0.00%,1,20.00%,0,0.00%,1,1,25.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,12/03/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,3,3,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,12/02/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,4,4,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,2,50.00%,0,0.00%,6,1,25.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,12/01/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,9,9,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,3,33.33%,1,11.11%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,11/30/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,1,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,11/29/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,1,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,11/28/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,7,7,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,1,14.29%,1,14.29%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,11/27/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,5,5,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,1,20.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,11/26/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,12,12,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,2,16.67%,2,16.67%,24,2,16.67%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,11/25/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,4,4,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,1,25.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,11/24/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,10,9,90.00%,1,10.00%,0,0.00%,1,10.00%,0,0.00%,8,5,55.56%,2,22.22%,1,1,11.11%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,11/23/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,2,2,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,1,50.00%,1,50.00%,1,1,50.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,11/22/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,1,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,11/21/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,4,4,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,11/20/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,9,8,88.89%,1,11.11%,1,11.11%,0,0.00%,0,0.00%,1,1,12.50%,1,12.50%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,11/19/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,4,4,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,1,25.00%,1,25.00%,1,1,25.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,11/18/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,7,7,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,2,28.57%,2,28.57%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,11/17/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,14,14,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,3,21.43%,2,14.29%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,11/16/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,1,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session,2,Grad Info Session ? Journey 01,11/15/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,2,2,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,1,50.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session for Version 1 Exits,1,Grad Info Session ? Journey 06,,FY21 Graduate Info Session ? Journey                                                                ,Take the next step toward graduate school                                                                                                                                                               ,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session for Version 1 Exits,1,Grad Info Session ? Journey 05,,FY21 Graduate Info Session ? Journey                                                                ,Your path to a graduate degree starts here                                                                                                                                                              ,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session for Version 1 Exits,1,Grad Info Session ? Journey 04,,FY21 Graduate Info Session ? Journey                                                                ,Get motivated for graduate school                                                                                                                                                                       ,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session for Version 1 Exits,1,Grad Info Session ? Journey 03,,FY21 Graduate Info Session ? Journey                                                                ,Learn more about graduate school                                                                                                                                                                        ,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session for Version 1 Exits,1,Grad Info Session ? Journey 02,,FY21 Graduate Info Session ? Journey                                                                ,Take your education to the next level                                                                                                                                                                   ,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Graduate Information Session for Version 1 Exits,1,Grad Info Session ? Journey 01,11/18/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,4241,4145,97.74%,96,2.26%,8,0.19%,88,2.07%,0,0.00%,1444,742,17.90%,298,7.19%,88,68,1.64%,9,0.22%,0,0.00%
FY21 Senior Search,1,FA21 Search 1S21 ? Email 04,12/17/2020,FA21 Search 1S21 ? Email 04                                                                         ,It?s good to be green                                                                                                                                                                                   ,18056,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FY21 Senior Search,1,FA21 Search 1S21 ? Email 03,12/03/2020,FA21 Search 1S21 ? Email 03                                                                         ,One of the best educations in the Northeast                                                                                                                                                             ,18565,18131,97.66%,434,2.34%,69,0.37%,182,0.98%,183,0.99%,4101,2907,16.03%,629,3.47%,468,228,1.26%,154,0.85%,0,0.00%
FY21 Senior Search,1,FA21 Search 1S21 ? Email 02,11/19/2020,FA21 Search 1S21 ? Email 02                                                                         ,Affordability benefits you now and in the future                                                                                                                                                        ,18699,18270,97.71%,429,2.29%,70,0.37%,180,0.96%,179,0.96%,4366,3103,16.98%,670,3.67%,702,246,1.35%,189,1.03%,0,0.00%
FY21 Senior Search,1,FA21 Search 1S21 ? Email 01,11/05/2020,FA21 Search 1S21 ? Email 01                                                                         ,Add us to your college list ? here's why                                                                                                                                                                ,19158,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
SIMULATION2080 journeyId fbbeab8a-5769-434d-80a3-212939547571,1,Grad Info Session ? Journey 06,11/17/2020,FY21 Graduate Info Session ? Journey                                                                ,Take the next step toward graduate school                                                                                                                                                               ,10,10,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
SIMULATION2080 journeyId fbbeab8a-5769-434d-80a3-212939547571,1,Grad Info Session ? Journey 05,11/17/2020,FY21 Graduate Info Session ? Journey                                                                ,Your path to a graduate degree starts here                                                                                                                                                              ,10,10,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
SIMULATION2080 journeyId fbbeab8a-5769-434d-80a3-212939547571,1,Grad Info Session ? Journey 04,11/17/2020,FY21 Graduate Info Session ? Journey                                                                ,Get motivated for graduate school                                                                                                                                                                       ,10,10,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
SIMULATION2080 journeyId fbbeab8a-5769-434d-80a3-212939547571,1,Grad Info Session ? Journey 03,11/17/2020,FY21 Graduate Info Session ? Journey                                                                ,Learn more about graduate school                                                                                                                                                                        ,10,10,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
SIMULATION2080 journeyId fbbeab8a-5769-434d-80a3-212939547571,1,Grad Info Session ? Journey 02,11/17/2020,FY21 Graduate Info Session ? Journey                                                                ,Take your education to the next level                                                                                                                                                                   ,10,10,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
SIMULATION2080 journeyId fbbeab8a-5769-434d-80a3-212939547571,1,Grad Info Session ? Journey 01,11/17/2020,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,10,10,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
SIMULATION2090 journeyId f3d9a1dc-4929-4e67-85b0-49ed96173917,1,FY21 Congratulatory Yield Journey Email,11/19/2020,FY21 Congratulatory Yield Journey Email                                                             ,A BIG congratulations to you!                                                                                                                                                                           ,10,10,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
SIMULATION2172 journeyId a4c9697b-3538-4636-9167-a78a7fadaf37,1,FA22 Junior Search ? Email 04,12/11/2020,FA22 Junior Search ? Email 04                                                                       ,It?s good to be green                                                                                                                                                                                   ,10,10,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
